experiment_name,recommender_id,category,frequency
Experiment_1,popular_1_exp_Experiment_1_seed_42,Drama,34324
Experiment_1,popular_1_exp_Experiment_1_seed_42,Thriller,13596
Experiment_1,popular_1_exp_Experiment_1_seed_42,Crime,8171
Experiment_1,popular_1_exp_Experiment_1_seed_42,Documentary,3069
Experiment_1,popular_1_exp_Experiment_1_seed_42,Adventure,10240
Experiment_1,popular_1_exp_Experiment_1_seed_42,Action,13967
Experiment_1,popular_1_exp_Experiment_1_seed_42,Romance,12528
Experiment_1,popular_1_exp_Experiment_1_seed_42,Comedy,28739
Experiment_1,popular_1_exp_Experiment_1_seed_42,Sci-Fi,7050
Experiment_1,popular_1_exp_Experiment_1_seed_42,Children,4944
Experiment_1,popular_1_exp_Experiment_1_seed_42,Western,3907
Experiment_1,popular_1_exp_Experiment_1_seed_42,War,3290
Experiment_1,popular_1_exp_Experiment_1_seed_42,Animation,4918
Experiment_1,popular_1_exp_Experiment_1_seed_42,Mystery,3914
Experiment_1,popular_1_exp_Experiment_1_seed_42,Fantasy,6345
Experiment_1,popular_1_exp_Experiment_1_seed_42,Horror,7330
Experiment_1,popular_1_exp_Experiment_1_seed_42,IMAX,1433
Experiment_1,popular_1_exp_Experiment_1_seed_42,Film-Noir,799
Experiment_1,popular_1_exp_Experiment_1_seed_42,(no genres listed),278
Experiment_1,popular_1_exp_Experiment_1_seed_42,Musical,2293
