provider_id,recommender_id,profit,cycle,fee,clicks,shows,connected_recommenders,controlled,experiment_id,random_seed
5,popular_1_exp_0_seed_None,2089.6200000000003,1,417.58000000000004,2781,13948,2,general,0,
5,popular_2_exp_0_seed_None,19.140000000000004,1,3.66,23,136,2,general,0,
8,popular_1_exp_0_seed_None,1136.6399999999999,1,227.36,1516,7576,2,general,0,
8,popular_2_exp_0_seed_None,0.0,1,0.0,0,0,2,general,0,
7,popular_1_exp_0_seed_None,1123.1999999999998,1,222.4,1464,7600,2,general,0,
7,popular_2_exp_0_seed_None,72.18,1,14.02,90,502,2,general,0,
1,popular_1_exp_0_seed_None,281.40000000000003,1,56.800000000000004,383,1850,2,niche,0,
1,popular_2_exp_0_seed_None,6290.28,1,1258.92,8400,41892,2,niche,0,
2,popular_1_exp_0_seed_None,264.72,1,53.88,367,1718,2,general,0,
2,popular_2_exp_0_seed_None,19.62,1,3.9800000000000004,27,128,2,general,0,
3,popular_1_exp_0_seed_None,235.26,1,47.14,315,1564,2,general,0,
3,popular_2_exp_0_seed_None,18.330000000000002,1,3.77,26,117,2,general,0,
10,popular_1_exp_0_seed_None,232.41000000000003,1,46.89,316,1529,2,general,0,
10,popular_2_exp_0_seed_None,52.980000000000004,1,10.420000000000002,68,362,2,general,0,
4,popular_1_exp_0_seed_None,233.37000000000003,1,46.53,309,1563,2,general,0,
4,popular_2_exp_0_seed_None,20.28,1,4.12,28,132,2,general,0,
9,popular_1_exp_0_seed_None,1152.42,1,231.58,1553,7628,2,general,0,
9,popular_2_exp_0_seed_None,14.430000000000003,1,2.4699999999999998,13,117,2,general,0,
6,popular_1_exp_0_seed_None,225.96,1,44.84,296,1524,2,general,0,
6,popular_2_exp_0_seed_None,17.759999999999998,1,3.64,25,114,2,general,0,
5,popular_1_exp_0_seed_None,1982.22,2,396.78,2648,13198,2,general,0,
5,popular_2_exp_0_seed_None,17.099999999999998,2,3.1,18,130,2,general,0,
8,popular_1_exp_0_seed_None,1069.1100000000001,2,214.19,1431,7109,2,general,0,
8,popular_2_exp_0_seed_None,0.0,2,0.0,0,0,2,general,0,
7,popular_1_exp_0_seed_None,1054.47,2,208.43,1369,7153,2,general,0,
7,popular_2_exp_0_seed_None,90.36000000000001,2,19.04,135,554,2,general,0,
1,popular_1_exp_0_seed_None,261.48,2,51.92,343,1762,2,niche,0,
1,popular_2_exp_0_seed_None,6718.17,2,1343.13,8950,44813,2,niche,0,
2,popular_1_exp_0_seed_None,232.70999999999998,2,45.790000000000006,299,1589,2,general,0,
2,popular_2_exp_0_seed_None,19.11,2,3.79,25,129,2,general,0,
3,popular_1_exp_0_seed_None,206.73000000000002,2,40.77,267,1407,2,general,0,
3,popular_2_exp_0_seed_None,19.080000000000005,2,3.7200000000000006,24,132,2,general,0,
10,popular_1_exp_0_seed_None,204.69,2,40.81,271,1371,2,general,0,
10,popular_2_exp_0_seed_None,62.24999999999999,2,12.850000000000001,89,395,2,general,0,
4,popular_1_exp_0_seed_None,212.39999999999998,2,42.8,288,1400,2,general,0,
4,popular_2_exp_0_seed_None,15.090000000000002,2,2.8100000000000005,17,111,2,general,0,
9,popular_1_exp_0_seed_None,1090.56,2,221.44,1504,7104,2,general,0,
9,popular_2_exp_0_seed_None,16.2,2,3.2,21,110,2,general,0,
6,popular_1_exp_0_seed_None,210.63000000000002,2,42.07,280,1407,2,general,0,
6,popular_2_exp_0_seed_None,17.64,2,3.3600000000000003,21,126,2,general,0,
5,popular_1_exp_0_seed_None,3767.4,3,752.6,5010,25160,2,general,0,
5,popular_2_exp_0_seed_None,4.3500000000000005,3,0.9500000000000001,7,25,2,general,0,
