experiment_name,recommender_id,category,frequency
Experiment_1,popular_1_exp_Experiment_1_seed_42,Drama,10283633
Experiment_1,popular_1_exp_Experiment_1_seed_42,Crime,2516001
Experiment_1,popular_1_exp_Experiment_1_seed_42,Thriller,4107796
Experiment_1,popular_1_exp_Experiment_1_seed_42,Documentary,942786
Experiment_1,popular_1_exp_Experiment_1_seed_42,Action,4236941
Experiment_1,popular_1_exp_Experiment_1_seed_42,Adventure,3094597
Experiment_1,popular_1_exp_Experiment_1_seed_42,Comedy,8642698
Experiment_1,popular_1_exp_Experiment_1_seed_42,Romance,3737145
Experiment_1,popular_1_exp_Experiment_1_seed_42,Children,1461280
Experiment_1,popular_1_exp_Experiment_1_seed_42,Sci-Fi,2107165
Experiment_1,popular_1_exp_Experiment_1_seed_42,Western,1181155
Experiment_1,popular_1_exp_Experiment_1_seed_42,War,983070
Experiment_1,popular_1_exp_Experiment_1_seed_42,Animation,1465960
Experiment_1,popular_1_exp_Experiment_1_seed_42,Mystery,1184389
Experiment_1,popular_1_exp_Experiment_1_seed_42,Fantasy,1893220
Experiment_1,popular_1_exp_Experiment_1_seed_42,Horror,2171628
Experiment_1,popular_1_exp_Experiment_1_seed_42,IMAX,420554
Experiment_1,popular_1_exp_Experiment_1_seed_42,Film-Noir,248075
Experiment_1,popular_1_exp_Experiment_1_seed_42,(no genres listed),86191
Experiment_1,popular_1_exp_Experiment_1_seed_42,Musical,692168
